ruta,curso,slug,objetivo_profesional,conceptos_teoricos,modulos_recomendados,caso_practico,producto_final,fuentes_base
Contenido Plus,Astronomía General para Curiosos,astronomia_general_curiosos_v0_6_publica,observación del cielo y lectura crítica de noticias astronómicas,sistema solar; estrellas; galaxias; escalas cósmicas; telescopios; eclipses; movimiento aparente; cosmología; exoplanetas; método científico,"Problema que resuelve el curso y contexto profesional | Fundamentos: sistema solar, estrellas, galaxias, escalas cósmicas | Conceptos intermedios: telescopios, eclipses, movimiento aparente | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Astronomía General para Curiosos' para resolver un problema concreto.",guía de observación inicial + glosario astronómico,"NASA, ESA, OpenStax Astronomy, IAU"
Contenido Plus,Computación Cuántica para Curiosos,computacion_cuantica_curiosos_v0_6_publica,"explicar qubits, superposición, medición y límites reales sin vender humo",qubit; superposición; entrelazamiento; medición; puertas cuánticas; decoherencia; algoritmos; criptografía; límites; simulación,"Problema que resuelve el curso y contexto profesional | Fundamentos: qubit, superposición, entrelazamiento, medición | Conceptos intermedios: puertas cuánticas, decoherencia, algoritmos | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Computación Cuántica para Curiosos' para resolver un problema concreto.",mapa conceptual de computación cuántica,"IBM Quantum Learning, Qiskit, Microsoft Quantum, NIST"
Plantilla y portal,Escudo Comercial Digital Argentina,escudo_comercial_web_v0_6_publica,"proteger presencia digital, canales de venta y reputación de un comercio",IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Escudo Comercial Digital Argentina' para resolver un problema concreto.",checklist de seguridad y reputación comercial,"NIST CSF 2.0, WhatsApp Business Help, Google Business Profile"
Ruta 1 - Ciudadanía Digital y Seguridad,Alfabetización Digital para Adultos,alfabetizacion_digital_adultos_web_v0_6_publica,desarrollar autonomía digital básica y segura,problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Alfabetización Digital para Adultos' para resolver un problema concreto.",plan de autonomía digital de 30 días,"DigComp 2.2, Google Safety Center, Microsoft Digital Literacy"
Ruta 1 - Ciudadanía Digital y Seguridad,Android Seguro para Principiantes,android_seguro_principiantes_v0_6_publica,configurar un teléfono Android con criterios de seguridad y privacidad,riesgo digital; autenticación; contraseñas; doble factor; phishing; permisos; datos personales; respuesta a incidentes; recuperación; prevención,"Problema que resuelve el curso y contexto profesional | Fundamentos: riesgo digital, autenticación, contraseñas, doble factor | Conceptos intermedios: phishing, permisos, datos personales | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Android Seguro para Principiantes' para resolver un problema concreto.",checklist de teléfono seguro,"Google Android Help, Google Safety Center, NIST CSF 2.0"
Ruta 1 - Ciudadanía Digital y Seguridad,Ciudadano Digital Argentina,ciudadano_digital_argentina_v0_6_publica,usar servicios digitales públicos de manera autónoma y segura,problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Ciudadano Digital Argentina' para resolver un problema concreto.",carpeta digital de trámites y documentos,"Argentina.gob.ar, Mi Argentina, ARCA, DigComp 2.2"
Ruta 1 - Ciudadanía Digital y Seguridad,Cuidado Digital para Adultos Mayores y Familias,cuidado_digital_mayores_familias_v0_6_publica,prevenir estafas y acompañar sin infantilizar,IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Cuidado Digital para Adultos Mayores y Familias' para resolver un problema concreto.",protocolo familiar ante mensajes sospechosos,"DigComp 2.2, NIST CSF 2.0, FTC consumer advice, Google Safety Center"
Ruta 1 - Ciudadanía Digital y Seguridad,Finanzas Digitales Seguras Argentina,finanzas_digitales_seguras_web_v0_6_publica,"usar billeteras, home banking y pagos digitales con seguridad",problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Finanzas Digitales Seguras Argentina' para resolver un problema concreto.",checklist de operación financiera segura,"Banco Central República Argentina, NIST CSF 2.0, OECD/INFE"
Ruta 1 - Ciudadanía Digital y Seguridad,Primeros Auxilios Digitales,primeros_auxilios_digitales_web_v0_6_publica,"responder ante hackeo, pérdida, fraude o acceso indebido",riesgo digital; autenticación; contraseñas; doble factor; phishing; permisos; datos personales; respuesta a incidentes; recuperación; prevención,"Problema que resuelve el curso y contexto profesional | Fundamentos: riesgo digital, autenticación, contraseñas, doble factor | Conceptos intermedios: phishing, permisos, datos personales | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Primeros Auxilios Digitales' para resolver un problema concreto.",protocolo de respuesta y recuperación,"NIST CSF 2.0, Google Account Help, Microsoft Security"
Ruta 1 - Ciudadanía Digital y Seguridad,Privacidad Digital Ciudadana,privacidad_digital_ciudadana_web_v0_6_publica,"comprender datos personales, huella digital y permisos",riesgo digital; autenticación; contraseñas; doble factor; phishing; permisos; datos personales; respuesta a incidentes; recuperación; prevención,"Problema que resuelve el curso y contexto profesional | Fundamentos: riesgo digital, autenticación, contraseñas, doble factor | Conceptos intermedios: phishing, permisos, datos personales | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Privacidad Digital Ciudadana' para resolver un problema concreto.",auditoría personal de privacidad,"DigComp 2.2, GDPR principles, Google Safety Center, NIST Privacy Framework"
Ruta 1 - Ciudadanía Digital y Seguridad,Seguridad Digital Escolar,seguridad_digital_escolar_web_v0_6_publica,"proteger estudiantes, datos y convivencia digital escolar",riesgo digital; autenticación; contraseñas; doble factor; phishing; permisos; datos personales; respuesta a incidentes; recuperación; prevención,"Problema que resuelve el curso y contexto profesional | Fundamentos: riesgo digital, autenticación, contraseñas, doble factor | Conceptos intermedios: phishing, permisos, datos personales | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Seguridad Digital Escolar' para resolver un problema concreto.",protocolo escolar de seguridad digital,"UNESCO, DigComp 2.2, Google for Education, NIST CSF 2.0"
